Triang 1, Triang 2
1: 8 15 17 18,1: 4 5 6 9 10 14 16 19
2: 4 6 7 12 13 15,2: 3 9 10 11 19
3: 4 5 9 10 13 16 18 19,3: 2 7 9 11 12
4: 2 3 13 15 16 19,4: 1 6 9 10 11 12 18
5: 3 9 10 16 18,5: 1 7 8 12 14 17 19
6: 2 7 8 13 15 17,6: 1 4 11 14 15
7: 2 6 13,7: 3 5 8 11 12 14 15 17
8: 1 6 14 15 16 18,8: 5 7 17
9: 3 5 18,9: 1 2 3 4 10 11 12 13 16 19
10: 3 5 11 12 13 16,10: 1 2 4 9 16 18 19
11: 10 12 13,11: 2 3 4 6 7 9 13 15 19
12: 2 10 11 13 16,12: 3 4 5 7 9 18 19
13: 2 3 4 6 7 10 11 12 15,13: 9 11 19
14: 8 16 18,14: 1 5 6 7 15 17
15: 1 2 4 6 8 13 17,15: 6 7 11 14
16: 3 4 5 8 10 12 14 17 18 19,16: 1 9 10
17: 1 6 15 16 18,17: 5 7 8 14
18: 1 3 5 8 9 14 16 17,18: 4 10 12 19
19: 3 4 16,19: 1 2 5 9 10 11 12 13 18
