Triang 1, Triang 2
1: 2 4 7 11 12 13,1: 3 9 10 16
2: 1 7 9 10 11 12 13,2: 3 4 16
3: 7 11 12,3: 1 2 4 9 10 13 15 16
4: 1 7 9 10 12 19,4: 2 3 11 13 15 16
5: 6 14 15,5: 6 8 12 14 17 18 19 20 21
6: 5 14 15 19 21,6: 5 8 17 18 19 20
7: 1 2 3 4 10 11 12,7: 8 9 12 13 16 19 20
8: 14 15 17 20 21,8: 5 6 7 11 12 13 16 18 19
9: 2 4 11 12 15 18 19 21,9: 1 3 7 10 13 16
10: 2 4 7 11 12 13 16 19,10: 1 3 9
11: 1 2 3 7 9 10 12 19 21,11: 4 8 13 16
12: 1 2 3 4 7 9 10 11 13 16,12: 5 7 8 16 20
13: 1 2 10 12 16,13: 3 4 7 8 9 11 15
14: 5 6 8 15 17 21,14: 5 18 19 20
15: 5 6 8 9 14 17 18 19 20 21,15: 3 4 13
16: 10 12 13,16: 1 2 3 4 7 8 9 11 12
17: 8 14 15,17: 5 6 18 19 20 21
18: 9 15 21,18: 5 6 8 14 17 19 20 21
19: 4 6 9 10 11 15 21,19: 5 6 7 8 14 17 18 20
20: 8 15 21,20: 5 6 7 12 14 17 18 19
21: 6 8 9 11 14 15 18 19 20,21: 5 17 18
