Triang 1, Triang 2
1: 9 10 14 20,1: 2 8 11 16 18 19
2: 9 19 20,2: 1 8 10 11 14 16 18
3: 4 5 7 15 16 17 21,3: 6 12 13
4: 3 5 6 8 15 16 17 21,4: 7 12 13 14
5: 3 4 8 12 15 17 21,5: 6 7 13
6: 4 15 17,6: 3 5 7 12 13 15 21
7: 3 16 17,7: 4 5 6 12 13 14 15 16 21
8: 4 5 17,8: 1 2 9 10 11 14 16 18 19 20
9: 1 2 10 11 15 16 19 20,9: 8 14 17 18
10: 1 9 11 14,10: 2 8 16 18 19 20
11: 9 10 14 16 18 20,11: 1 2 8 19
12: 5 15 17 18 19,12: 3 4 6 7 13 14 16 19 21
13: 15 16 17 21,13: 3 4 5 6 7 12
14: 1 10 11 20,14: 2 4 7 8 9 12 16 17 18 19
15: 3 4 5 6 9 12 13 16 17 19,15: 6 7 21
16: 3 4 7 9 11 13 15 17 18 21,16: 1 2 7 8 10 12 14 19 20
17: 3 4 5 6 7 8 12 13 15 16 18 21,17: 9 14 18
18: 11 12 16 17 19 20,18: 1 2 8 9 10 14 17 19
19: 2 9 12 15 18 20,19: 1 8 10 11 12 14 16 18
20: 1 2 9 11 14 18 19,20: 8 10 16
21: 3 4 5 13 16 17,21: 6 7 12 15
